paper_id,author_id,affiliation
2398560,81315488361,"Yahoo! Research, Barcelona, Spain"
2398560,81335495771,"Bilkent University, Ankara, Turkey"
2398560,81549042956,"Bilkent University, Ankara, Turkey"
2398560,81100529316,"Bilkent University, Ankara, Turkey"
1321558,81100461898,"Bilkent University, Ankara, Turkey"
1321558,81335495771,"Bilkent University, Ankara, Turkey"
1321558,81335488795,"Bilkent University, Ankara, Turkey"
1321558,81340494290,"Bilkent University, Ankara, Turkey"
1321558,81100529316,"Bilkent University, Ankara, Turkey"
1646273,81100461898,"Bilkent University, Ankara, Turkey"
1646273,81335495771,"Bilkent University, Ankara, Turkey"
1646273,81100529316,"Bilkent University, Ankara, Turkey"
1458451,81100139116,"Stanford University, Stanford, CA, USA"
2507840,83358815857,"University of Liege, Liege, Belgium"
2507840,83358679657,"Yahoo! Labs, Sunnyvale, CA, USA"
2507840,81100106199,"NTT Corporation, Atsugi, Japan"
2507840,81329489682,"NTT Corporation, Keihanna, Japan"
1183662,81100494852,"University of Pittsburgh, Pittsburgh, PA"
1183662,81100267337,"University of Pittsburgh, Pittsburgh, PA"
1183662,81331489984,"University of Pittsburgh, Pittsburgh, PA"
1458569,81384621148,"University of Ottawa, Ottawa, ON, Canada"
1458569,81323491458,"University of Ottawa, Ottawa, ON, Canada"
2398672,81100501777,"Fondazione Ugo Bordoni, Rome, Italy"
2398672,81466647927,"Almawave, Rome, Italy"
2398672,81100425439,"IASI-CNR, Rome, Italy"
2514691,81548022860,"Netflix, Los Gatos, USA"
2514701,81548022860,"Netflix, Los Gatos, USA"
191259,81100573221,"Laboratoire PRISM, 45. av. des Etats Unis, 78000 Versailles, France"
584839,81100419641,"AT&T; Labs - Research"
584839,81100384253,"AT&T; Labs - Research"
584839,81100207289,"AT&T; Labs - Research"
584839,81100062835,"AT&T; Labs - Research"
1458465,81384603639,"University of Santiago de Compostela, Santiago de Compostela, Spain"
1458465,81384613102,"University of Santiago de Compostela, Santiago de Compostela, Spain"
1458465,81384596680,"University of Santiago de Compostela, Santiago de Compostela, Spain"
1871904,81472656568,"University of Twente, Enschede, Netherlands"
1871904,81100066905,"University of Twente, Enschede, Netherlands"
1871904,81472655485,"University of Twente, Enschede, Netherlands"
